1.0500 0.6440
1.0497 0.6461
1.0494 0.6483
1.0490 0.6504
1.0487 0.6526
1.0484 0.6548
1.0481 0.6569
1.0478 0.6591
1.0475 0.6613
1.0472 0.6635
1.0469 0.6658
1.0465 0.6680
1.0462 0.6702
1.0459 0.6725
1.0456 0.6747
1.0453 0.6770
1.0450 0.6793
1.0447 0.6816
1.0445 0.6839
1.0442 0.6862
1.0439 0.6885
1.0436 0.6908
1.0433 0.6931
1.0430 0.6955
1.0427 0.6978
1.0424 0.7002
1.0422 0.7026
1.0419 0.7049
1.0416 0.7073
1.0413 0.7097
1.0411 0.7121
1.0408 0.7146
1.0405 0.7170
1.0403 0.7194
1.0400 0.7219
1.0397 0.7243
1.0395 0.7268
1.0392 0.7293
1.0389 0.7318
1.0387 0.7342
1.0384 0.7368
1.0382 0.7393
1.0379 0.7418
1.0377 0.7443
1.0374 0.7469
1.0371 0.7494
1.0369 0.7520
1.0367 0.7546
1.0364 0.7572
1.0362 0.7598
