360         11.15
380         14.22
400         18.49
420         21.86
440         24.08
460         26.10
480         27.35
500         28.74
520         29.43
540         29.87
560         30.14
580         30.55
600         30.71
620         30.86
640         31.02
660         30.75
680         30.59
700         30.90
720         30.62
740         29.88
760         29.45
780         28.62
800         27.89
820         26.20
840         24.28
860         20.90
880         14.35
900          5.01
920          1.07
940          0.25
960          0.00

