1.07 0.64618
1.0696 0.64824
1.0693 0.6503
1.0689 0.65237
1.0685 0.65445
1.0682 0.65654
1.0678 0.65864
1.0674 0.66075
1.0671 0.66286
1.0667 0.66499
1.0664 0.66712
1.066 0.66926
1.0657 0.67141
1.0653 0.67357
1.065 0.67574
1.0646 0.67792
1.0643 0.6801
1.064 0.6823
1.0636 0.6845
1.0633 0.68671
1.0629 0.68893
1.0626 0.69117
1.0623 0.6934
1.0619 0.69565
1.0616 0.69791
1.0613 0.70018
1.061 0.70246
1.0606 0.70474
1.0603 0.70704
1.06 0.70934
1.0597 0.71165
1.0594 0.71398
1.059 0.71631
1.0587 0.71865
1.0584 0.721
1.0581 0.72336
1.0578 0.72573
1.0575 0.72811
1.0572 0.7305
1.0569 0.7329
1.0566 0.73531
1.0563 0.73772
1.056 0.74015
1.0557 0.74259
1.0554 0.74503
1.0551 0.74749
1.0548 0.74996
1.0545 0.75243
1.0542 0.75492
1.054 0.75742
